id,title,author,year,venue,pubtype,url
0,This is the title of paper 0,first last8,1978,venue location5,pubtype1,http://portal.acm.org/paperdb/location/of/paper0
1,This is the title of paper 1,first last16,1979,venue location5,pubtype2,http://portal.acm.org/paperdb/location/of/paper1
2,This is the title of paper 2,first last2,1971,venue location5,pubtype4,http://portal.acm.org/paperdb/location/of/paper2
3,This is the title of paper 3,first last8,1978,venue location2,pubtype1,http://portal.acm.org/paperdb/location/of/paper3
4,This is the title of paper 4,first last4,1976,venue location3,pubtype2,http://portal.acm.org/paperdb/location/of/paper4
5,This is the title of paper 5,first last3,1972,venue location3,pubtype4,http://portal.acm.org/paperdb/location/of/paper5
6,This is the title of paper 6,first last7,1980,venue location0,pubtype4,http://portal.acm.org/paperdb/location/of/paper6
7,This is the title of paper 7,first last0,1972,venue location3,pubtype2,http://portal.acm.org/paperdb/location/of/paper7
8,This is the title of paper 8,first last0,1977,venue location4,pubtype2,http://portal.acm.org/paperdb/location/of/paper8
9,This is the title of paper 9,first last4,1975,venue location8,pubtype2,http://portal.acm.org/paperdb/location/of/paper9
10,This is the title of paper 10,first last8,1970,venue location9,pubtype3,http://portal.acm.org/paperdb/location/of/paper10
11,This is the title of paper 11,first last18,1977,venue location8,pubtype1,http://portal.acm.org/paperdb/location/of/paper11
12,This is the title of paper 12,first last11,1983,venue location4,pubtype2,http://portal.acm.org/paperdb/location/of/paper12
13,This is the title of paper 13,first last4,1976,venue location0,pubtype4,http://portal.acm.org/paperdb/location/of/paper13
14,This is the title of paper 14,first last19,1973,venue location9,pubtype4,http://portal.acm.org/paperdb/location/of/paper14
15,This is the title of paper 15,first last2,1970,venue location5,pubtype1,http://portal.acm.org/paperdb/location/of/paper15
16,This is the title of paper 16,first last3,1975,venue location3,pubtype1,http://portal.acm.org/paperdb/location/of/paper16
17,This is the title of paper 17,first last9,1972,venue location9,pubtype2,http://portal.acm.org/paperdb/location/of/paper17
18,This is the title of paper 18,first last8,1977,venue location3,pubtype3,http://portal.acm.org/paperdb/location/of/paper18
19,This is the title of paper 19,first last16,1978,venue location7,pubtype4,http://portal.acm.org/paperdb/location/of/paper19
20,This is the title of paper 20,first last15,1975,venue location4,pubtype2,http://portal.acm.org/paperdb/location/of/paper20
21,This is the title of paper 21,first last16,1982,venue location5,pubtype2,http://portal.acm.org/paperdb/location/of/paper21
22,This is the title of paper 22,first last2,1979,venue location8,pubtype2,http://portal.acm.org/paperdb/location/of/paper22
